demand_heat,heat_pump,district_heating_industry
-12.10879485,9.1,3.008794850000001
-4.96694935,4.96694935,0.0
-4.032278326,4.032278326,0.0
-2.606738203,2.606738203,0.0
-2.190071536,2.190071536,0.0
-1.095035768,1.095035768,0.0
-17.5,9.1,8.4
-36.09503577,9.1,26.99503577
-28.44007154,9.1,19.340071540000004
-27.6067382,9.1,18.5067382
-40.33050075,9.1,31.230500749999997
-35.95035768,9.1,26.850357680000002
-40.06879832,9.1,30.968798319999998
-27.97517884,9.1,18.875178840000004
-35.37872678,9.1,26.27872678
-31.26028614,9.1,22.160286140000004
-33.29539345,9.1,24.195393449999997
-24.01170243,9.1,14.91170243
-28.65354794,9.1,19.55354794
-27.97517884,9.1,18.875178840000004
-32.77198858,9.1,23.671988579999997
-25.05851217,9.1,15.95851217
-22.86844064,9.1,13.76844064
-6.356738204,6.356738204,0.0
-6.463476404,6.463476404,0.0
-5.785107304,5.785107304,0.0
-1.511702435,1.511702435,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
-17.34503577,9.1,8.24503577
-32.5,9.1,23.4
-33.80851217,9.1,24.70851217
-37.15213165,9.1,28.05213165
-30.05851217,9.1,20.95851217
-30.73688128,9.1,21.636881279999997
-34.70035768,9.1,25.600357680000002
-41.94894138,9.1,32.84894138
-32.87872678,9.1,23.77872678
-25.8918455,9.1,16.7918455
-30.01028614,9.1,20.910286140000004
-25.63014307,9.1,16.53014307
-31.52198858,9.1,22.421988579999997
-28.65354794,9.1,19.55354794
-24.90354794,9.1,15.80354794
-28.23688128,9.1,19.136881279999997
-32.30709588,9.1,23.207095879999997
-8.808512171,8.808512171,0.0
-5.940071538,5.940071538,0.0
-7.403547942,7.403547942,0.0
-1.511702435,1.511702435,0.0
-1.511702435,1.511702435,0.0
0.0,0.0,0.0
0.0,0.0,0.0
-20.52340487,9.1,11.42340487
-36.72517884,9.1,27.625178839999997
-26.61844064,9.1,17.51844064
-30.99858371,9.1,21.898583709999997
-38.40213165,9.1,29.30213165
-27.86844064,9.1,18.76844064
-26.20177397,9.1,17.101773970000004
-28.65354794,9.1,19.55354794
-33.81879832,9.1,24.718798319999998
-30.53369101,9.1,21.433691009999997
-26.30851217,9.1,17.20851217
-21.77340487,9.1,12.67340487
-28.23688128,9.1,19.136881279999997
-16.9283691,9.1,7.8283691000000015
-20.94007154,9.1,11.840071540000002
-25.32021461,9.1,16.22021461
-19.01170243,9.1,9.91170243
-4.951773971,4.951773971,0.0
-7.558512171,7.558512171,0.0
-0.416666667,0.416666667,0.0
-1.928369101,1.928369101,0.0
0.0,0.0,0.0
-2.606738203,2.606738203,0.0
-1.511702435,1.511702435,0.0
-17.08333333,9.1,7.983333329999999
-37.6067382,9.1,28.5067382
-39.23546498,9.1,30.135464980000002
-38.66383408,9.1,29.56383408
-31.52198858,9.1,22.421988579999997
-35.48546498,9.1,26.385464980000002
-27.55851217,9.1,18.45851217
-28.23688128,9.1,19.136881279999997
-25.47517884,9.1,16.375178840000004
-26.98688128,9.1,17.886881279999997
-22.86844064,9.1,13.76844064
