demand_electricity,pv,heat_pump,battery,import,export_pv
-0.0,0.0,-0.0,0.0,2.2884816556489835,0.0
-0.0,0.0,-0.0,0.0,1.3135450876701251,0.0
-0.0,0.0,-0.0,0.0,1.1020076933907723,0.0
-0.0,0.0,-0.0,0.0,0.4161599999991356,0.0
-0.0,0.0,-0.0,0.0,0.36329999999958673,0.0
-0.0,0.0,-0.0,0.0,0.4356799999992259,0.0
-0.0,0.0,-0.0,0.0,1.965000000000873,0.0
-0.0,0.0,-0.0,0.0,2.4722999999998896,0.0
-0.0,0.0,-0.0,0.0,1.3773029984354892,0.0
-0.0,0.0,-0.0,0.0,1.8833911999249247,0.0
-0.0,0.0,-0.0,0.0,4.146343186614202,0.0
-0.0,0.0,-0.0,0.0,4.072138258349432,0.0
-0.0,0.0,-0.0,0.0,3.4815097134806434,0.0
-0.0,0.0,-0.0,0.0,3.0906848470140194,0.0
-0.0,0.0,-0.0,0.0,2.7293076826496976,0.0
-0.0,0.0,-0.0,0.0,4.238735331678808,0.0
-0.0,0.0,-0.0,0.0,4.617412500000189,0.0
-0.0,0.0,-0.0,0.0,4.580400000001979,0.0
-0.0,0.0,-0.0,0.0,5.470342499997702,0.0
-0.0,0.0,-0.0,0.0,6.017129999998937,0.0
-0.0,0.0,-0.0,0.0,6.4655325000030555,0.0
-0.0,0.0,-0.0,0.0,5.060599999999279,0.0
-0.0,0.0,-0.0,0.0,3.9439799999991094,0.0
-0.0,0.0,-0.0,0.0,1.3971199999996555,0.0
-0.0,0.0,-0.0,0.0,1.2910500000020868,0.0
-0.0,0.0,-0.0,0.0,0.9882599999984355,0.0
-0.0,0.0,-0.0,0.0,0.4764199999988673,0.0
-0.0,0.0,-0.0,0.0,0.25489999999990687,0.0
-0.0,0.0,-0.0,0.0,0.2555000000006112,0.0
-0.0,0.0,-0.0,0.0,0.36834000000220846,0.0
-0.0,0.0,-0.0,0.0,1.8572999999986903,0.0
-0.0,0.0,-0.0,0.0,3.3712499999986902,0.0
-0.0,0.0,-0.0,0.0,3.6303495178885474,0.0
-0.0,0.0,-0.0,0.0,3.813828323361174,0.0
-0.0,0.0,-0.0,0.0,3.6732745784406697,0.0
-0.0,0.0,-0.0,0.0,3.5896477756051888,0.0
-0.0,0.0,-0.0,0.0,3.816187828049945,0.0
-0.0,0.0,-0.0,0.0,6.663376725684723,0.0
-0.0,0.0,-0.0,0.0,4.777346737880875,0.0
-0.0,0.0,-0.0,0.0,3.817396511914921,0.0
-0.0,0.0,-0.0,0.0,4.568977499998131,0.0
-0.0,0.0,-0.0,0.0,5.846750000003187,0.0
-0.0,0.0,-0.0,0.0,6.323447499997055,0.0
-0.0,0.0,-0.0,0.0,5.825655000000102,0.0
-0.0,0.0,-0.0,0.0,5.2364500000010485,0.0
-0.0,0.0,-0.0,0.0,4.637024999999256,0.0
-0.0,0.0,-0.0,0.0,3.811237500001825,0.0
-0.0,0.0,-0.0,0.0,1.6878399999990712,0.0
-0.0,0.0,-0.0,0.0,1.088489999999198,0.0
-0.0,0.0,-0.0,0.0,1.0484825000008928,0.0
-0.0,0.0,-0.0,0.0,0.28760000000073577,0.0
-0.0,0.0,-0.0,0.0,0.2527999999997579,0.0
-0.0,0.0,-0.0,0.0,0.19655999999944468,0.0
-0.0,0.0,-0.0,0.0,0.22807999999960885,0.0
-0.0,0.0,-0.0,0.0,2.37712000000082,0.0
-0.0,0.0,-0.0,0.0,4.96160000000021,0.0
-0.0,0.0,-0.0,0.0,3.9799974410702927,0.0
-0.0,0.0,-0.0,0.0,4.549889164746323,0.0
-0.0,0.0,-0.0,0.0,6.042196396861243,0.0
-0.0,0.0,-0.0,0.0,4.435576039439389,0.0
-0.0,0.0,-0.0,0.0,2.5492786959496625,0.0
-0.0,0.0,-0.0,0.0,4.196654013499686,0.0
-0.0,0.0,-0.0,0.0,5.63890560261192,0.0
-0.0,0.0,-0.0,0.0,7.917330977613354,0.0
-0.0,0.0,-0.0,0.0,6.088095000004181,0.0
-0.0,0.0,-0.0,0.0,5.823899999996228,0.0
-0.0,0.0,-0.0,0.0,8.084722499999097,0.0
-0.0,0.0,-0.0,0.0,5.738320000003944,0.0
-0.0,0.0,-0.0,0.0,5.413280000000362,0.0
-0.0,0.0,-0.0,0.0,4.990849999997579,0.0
-0.0,0.0,-0.0,0.0,3.0533700000018706,0.0
-0.0,0.0,-0.0,0.0,1.4339200000002887,0.0
-0.0,0.0,-0.0,0.0,1.3582499999984283,0.0
-0.0,0.0,-0.0,0.0,0.4900000000010187,0.0
-0.0,0.0,-0.0,0.0,0.4215199999995198,0.0
-0.0,0.0,-0.0,0.0,0.3074499999990076,0.0
-0.0,0.0,-0.0,0.0,0.4125000000017671,0.0
-0.0,0.0,-0.0,0.0,0.40571999999936437,0.0
-0.0,0.0,-0.0,0.0,2.0206400000001303,0.0
-0.0,0.0,-0.0,0.0,4.571460000001079,0.0
-0.0,0.0,-0.0,0.0,5.463601909948487,0.0
-0.0,0.0,-0.0,0.0,4.800775903476394,0.0
-0.0,0.0,-0.0,0.0,3.396209317630619,0.0
-0.0,0.0,-0.0,0.0,4.321915615439309,0.0
-0.0,0.0,-0.0,0.0,2.8259163540421706,0.0
-0.0,0.0,-0.0,0.0,3.1582995693305973,0.0
-0.0,0.0,-0.0,0.0,3.8670136365606282,0.0
-0.0,0.0,-0.0,0.0,4.353554982196833,0.0
-0.0,0.0,-0.0,0.0,3.7087999999970584,0.0
