balance,supply_grid,exchanged
-15.744246688029495,1.5744246688029495,0.0
-13.810680021366366,1.3810680021366366,0.0
-12.132557846031967,1.2132557846031968,0.0
-7.6918232234212045,0.7691823223421205,0.0
-6.240556556752461,0.6240556556752461,0.0
-5.332806556762094,0.5332806556762094,0.0
-13.039606556769286,1.3039606556769288,0.0
-29.63257322342659,2.9632573223426593,0.0
-25.770087464430183,2.5770087464430187,0.0
-19.07204722192484,1.9072047221924842,0.0
-35.994063984592486,3.599406398459249,0.0
-32.76350000142186,3.276350000142186,0.0
-25.274194649763217,2.527419464976322,0.0
-17.109336510599285,1.7109336510599285,0.0
-33.37751020975438,3.3377510209754377,0.0
-33.55039820275553,3.3550398202755534,0.0
-34.967973223422774,3.4967973223422777,0.0
-29.939673223439634,2.9939673223439636,0.0
-32.70102322342295,3.270102322342295,0.0
-39.27578989008313,3.9275789890083135,0.0
-39.898823223445234,3.9898823223445237,0.0
-31.711306556757656,3.171130655675766,0.0
-23.913523223431113,2.3913523223431112,0.0
-13.684956556750956,1.3684956556750958,0.0
-11.375956556775346,1.1375956556775346,0.0
-8.018823223415078,0.8018823223415078,0.0
-6.162739890089156,0.6162739890089157,0.0
-6.331406556759248,0.6331406556759248,0.0
-4.470006556766748,0.4470006556766748,0.0
-5.16047322344275,0.5160473223442751,0.0
-13.661606556749437,1.3661606556749437,0.0
-28.524489890088283,2.8524489890088285,0.0
-27.769833461933302,2.7769833461933304,0.0
-25.283478920442445,2.528347892044245,0.0
-18.684914085997324,1.8684914085997324,0.0
-22.147872040010828,2.214787204001083,0.0
-23.86644576147658,2.386644576147658,0.0
-45.68914935137009,4.568914935137009,0.0
-36.440474113602015,3.6440474113602015,0.0
-23.34278708909403,2.334278708909403,0.0
-29.28077322341285,2.9280773223412853,0.0
-26.932356556779673,2.6932356556779675,0.0
-38.36903989008091,3.8369039890080914,0.0
-30.600389890096558,3.060038989009656,0.0
-30.963089890092437,3.096308989009244,0.0
-34.79228989009207,3.4792289890092074,0.0
-35.907656556774924,3.5907656556774925,0.0
-14.76870655675538,1.476870655675538,0.0
-10.639489890088123,1.0639489890088123,0.0
-8.959039890102037,0.8959039890102037,0.0
-6.812339890107992,0.6812339890107992,0.0
-4.872873223423099,0.4872873223423099,0.0
-4.774473223422319,0.477447322342232,0.0
-5.327406556754795,0.5327406556754796,0.0
-15.8000898900998,1.58000898900998,0.0
-31.616623223431365,3.161662322343137,0.0
-20.43949409076302,2.043949409076302,0.0
-22.640989717004253,2.264098971700425,0.0
-30.83259075872691,3.083259075872691,0.0
-22.328937884761515,2.2328937884761517,0.0
-13.139259214424836,1.3139259214424837,0.0
-14.398265372858795,1.4398265372858796,0.8710734132357665
-26.88389553502823,2.688389553502823,0.0
-36.79745268725072,3.679745268725072,0.0
-25.928473223448556,2.5928473223448556,0.0
