demand_electricity,pv,delta_battery,heat_pump,import,export_pv
-7.8375,0.059500000000000004,0.0,-2.3,10.078000000000001,0.0
-5.31575,0.0,0.0,-2.3,7.61575,0.0
-7.277416667,0.0,0.0,-2.3,9.577416667,0.0
-7.282,0.0,0.0,-2.3,9.582,0.0
-9.6305,0.0,0.0,-2.3,11.930499999999999,0.0
-9.133666667,0.0,0.0,-2.3,11.433666667,0.0
-7.583583333,0.0,0.0,-2.3,9.883583333,0.0
-6.863083333,0.0,0.0,-2.3,9.163083333,0.0
-5.5,0.0,0.0,-2.3,7.8,0.0
-4.36975,0.0,0.0,-2.3,6.66975,0.0
-2.7335,0.0,0.0,-0.45833333325,3.19183333325,0.0
-2.2825,0.0,0.0,-0.0,2.2825,0.0
-2.088166667,0.0,0.0,-0.0,2.088166667,0.0
-1.896583333,0.0,0.0,-0.0,1.8965833330000001,0.0
-2.071666667,0.0,0.0,-0.0,2.071666667,0.0
-2.101916667,0.0,0.0,-2.3,4.401916667,0.0
-3.133166667,0.646,0.0,-2.3,4.787166666999999,0.0
-4.532916667,1.921,0.0,-2.3,4.911916667,0.0
-3.97925,3.6209999999999996,0.0,-2.3,2.6582500000000002,0.0
-5.910666667,4.7090000000000005,0.0,-2.3,3.5016666669999994,0.0
-6.665083333,5.3635,0.0,-2.3,3.6015833329999998,0.0
-7.424083333,5.304,0.0,-2.3,4.420083332999999,0.0
-10.09891667,4.301,0.0,-2.3,8.09791667,0.0
-7.41125,2.499,0.0,-2.3,7.21225,0.0
-7.049166667,0.19549999999999998,0.0,-2.3,9.153666667,0.0
-5.8575,0.0,0.0,-2.3,8.157499999999999,0.0
-6.325,0.0,0.0,-2.3,8.625,0.0
-7.942,0.0,0.0,-2.3,10.241999999999999,0.0
-9.607583333,0.0,0.0,-2.3,11.907583332999998,0.0
-8.443416667,0.0,0.0,-2.3,10.743416666999998,0.0
-8.058416667,0.0,0.0,-2.3,10.358416667,0.0
-6.458833333,0.0,0.0,-2.3,8.758833333,0.0
-4.882166667,0.0,0.0,-2.3,7.182166667,0.0
-4.356,0.0,0.0,-2.3,6.656,0.0
-3.004833333,0.0,0.0,-2.3,5.3048333329999995,0.0
-3.6465,0.0,0.0,-0.0,3.6465,0.0
-2.2495,0.0,0.0,-0.22916666675,2.4786666667499997,0.0
-2.020333333,0.0,0.0,-0.0,2.020333333,0.0
-2.0515,0.0,0.0,-0.0,2.0515,0.0
-1.991,0.0,0.0,-2.3,4.2909999999999995,0.0
-4.4715,1.7085000000000001,0.0,-2.3,5.063,0.0
-3.765666667,3.8080000000000003,-0.042333333000000244,-2.3,2.3,0.0
-4.021416667,5.082999999999999,-1.0615833329999997,-2.3,2.3,0.0
-5.701666667,5.729,-0.027333333000000414,-2.3,2.3,0.0
-7.48,5.831,0.9163124991900004,-2.3,3.0326875008099994,0.0
-11.90016667,5.4145,0.0,-2.3,8.785666670000001,0.0
-14.366,4.3775,0.0,-2.3,12.288499999999999,0.0
-9.313333333,2.584,0.0,-2.3,9.029333333,0.0
-8.345333333,0.221,0.0,-2.3,10.424333333,0.0
-5.408333333,0.0,0.0,-2.3,7.708333333,0.0
-5.053583333,0.0,0.0,-2.3,7.3535833329999996,0.0
-6.743458333,0.0,0.0,-2.3,9.043458333,0.0
-11.43495833,0.0,0.0,-2.3,13.734958330000001,0.0
-7.7605,0.0,0.0,-2.3,10.0605,0.0
-7.341583333,0.0,0.0,-2.3,9.641583333,0.0
-5.248833333,0.0,0.0,-2.3,7.548833333,0.0
-5.579291667,0.0,0.0,-2.3,7.8792916669999995,0.0
-4.678208333,0.0,0.0,-2.3,6.9782083329999995,0.0
-3.707916667,0.0,0.0,-0.22916666675,3.9370833337500004,0.0
-2.2935,0.0,0.0,-1.662872678,3.956372678,0.0
-1.848916667,0.0,0.0,-0.45833333325,2.30725000025,0.0
-2.086333333,0.0,0.0,-0.22916666675,2.3154999997499996,0.0
-1.837,0.0,0.0,-1.20453934475,3.0415393447499994,0.0
-2.299,0.0,0.0,-2.3,4.599,0.0
-3.167083333,1.632,0.0,-2.3,3.835083333,0.0
-3.608,3.6209999999999996,-0.012999999999999555,-2.3,2.3,0.0
-5.011416667,4.802499999999999,0.01052999999999964,-2.3,2.4983866670000006,0.0
-5.962916667,5.559,0.0,-2.3,2.7039166669999997,0.0
-5.664083333,5.7205,-0.05641666700000054,-2.3,2.3,0.0
-5.89325,5.287,0.045697500270000434,-2.3,2.86055249973,0.0
-7.42225,4.2245,0.0,-2.3,5.49775,0.0
-8.645083333,2.397,0.0,-2.3,8.548083333000001,0.0
-6.20125,0.204,0.0,-2.3,8.29725,0.0
-4.885833333,0.0,0.0,-2.3,7.185833333,0.0
-8.562583333,0.0,0.0,-2.3,10.862583333,0.0
-8.6735,0.0,0.0,-2.3,10.973500000000001,0.0
-10.79833333,0.0,0.0,-2.3,13.098333329999999,0.0
-10.30333333,0.0,0.0,-2.3,12.603333329999998,0.0
-6.556,0.0,0.0,-2.3,8.856,0.0
-6.251666667,0.0,0.0,-2.3,8.551666667,0.0
-6.331416667,0.0,0.0,-2.3,8.631416667,0.0
-4.818916667,0.0,0.0,-2.3,7.118916667,0.0
-2.6565,0.0,0.0,-2.3,4.9565,0.0
-2.621666667,0.0,0.0,-1.06060300575,3.68226967275,0.0
-2.013,0.0,0.0,-0.0,2.013,0.0
-2.14775,0.0,0.0,-0.0,2.14775,0.0
-2.121166667,0.0,0.0,-1.20453934475,3.3257060117499995,0.0
-1.761833333,0.0,0.0,-2.3,4.061833333,0.0
