balance,supply_grid,exchanged
-19.78418083,19.78418083,0.0
-16.671462041,16.671462041,0.0
-15.3059061485,15.3059061485,0.0
-9.6334227535,9.6334227535,0.0
-7.56883942,7.56883942,0.0
-6.48337804375,6.48337804375,0.0
-12.291666666000001,12.291666666000001,0.0
-11.86,11.86,0.0
-8.035833334,8.035833334,0.0
-8.344083334,8.344083334,0.0
-9.889833333999999,9.889833333999999,0.0
-7.40847222288889,7.40847222288889,0.0
-11.397416666,11.397416666,0.0
-20.269666663000002,20.269666663000002,0.0
-17.515249999999998,17.515249999999998,0.0
-23.143583334,23.143583334,0.0
-21.841666666,21.841666666,0.0
-24.572916666,24.572916666,0.0
-25.327083334,25.327083334,0.0
-31.6,31.6,0.0
-30.052083337,30.052083337,0.0
-28.266666666000003,28.266666666000003,0.0
-23.9375,23.9375,0.0
-16.435017885,16.435017885,0.0
-16.067952435,16.067952435,0.0
-13.521276826000001,13.521276826000001,0.0
-7.08962804325,7.08962804325,0.0
-5.310416666,5.310416666,0.0
-3.8020833339999998,3.8020833339999998,0.0
-5.48125,5.48125,0.0
-10.989583333999999,10.989583333999999,0.0
-9.681416665999999,9.681416665999999,0.0
-7.778166665999999,7.778166665999999,0.0
-5.640638888888887,5.640638888888887,0.0
-7.893152499999999,7.893152499999999,0.0
-5.122833334000001,5.122833334000001,0.36924999999999963
-11.165416665999999,11.165416665999999,0.0
-33.112416663000005,33.112416663000005,0.0
-28.959666663,28.959666663,0.0
-21.8745,21.8745,0.0
-19.460416666,19.460416666,0.0
-23.560416666000002,23.560416666000002,0.0
-24.75,24.75,0.0
-26.225,26.225,0.0
-30.291666662999997,30.291666662999997,0.0
-25.247916666,25.247916666,0.0
-19.424999999999997,19.424999999999997,0.0
-20.90837804275,20.90837804275,0.0
-16.103767884499998,16.103767884499998,0.0
-13.998803651500001,13.998803651500001,0.0
-7.489628043250001,7.489628043250001,0.0
-6.583378043250001,6.583378043250001,0.0
-4.55,4.55,0.0
-5.939583334,5.939583334,0.0
-12.172916665999999,12.172916665999999,0.0
-8.060583334,8.060583334,0.0
-6.329624999999999,6.329624999999999,0.0
-1.947763888888888,1.947763888888888,1.9178611111111117
-2.0913333329999997,2.0913333329999997,2.032
-2.604666667,2.604666667,1.7402499999999996
-8.289084166730001,8.289084166730001,0.0
-20.083333337000003,20.083333337000003,0.0
-18.996416666,18.996416666,0.0
-29.845166662999997,29.845166662999997,0.0
-20.965625,20.965625,0.0
-20.102083334,20.102083334,0.0
-25.911458334,25.911458334,0.0
-28.410416666,28.410416666,0.0
-29.733333337,29.733333337,0.0
-27.212500000000002,27.212500000000002,0.0
-20.529166666,20.529166666,0.0
-18.24749177975,18.24749177975,0.0
-15.90629470875,15.90629470875,0.0
-7.2916666674999995,7.2916666674999995,0.0
-7.9833780425,7.9833780425,0.0
-5.822916665999999,5.822916665999999,0.0
-7.8125894195,7.8125894195,0.0
-7.043794709249999,7.043794709249999,0.0
-11.83125,11.83125,0.0
-8.319083333999998,8.319083333999998,0.0
-6.705083333,6.705083333,0.0
-4.572098888618891,4.572098888618891,0.0
-4.914083333999999,4.914083333999999,0.7300000000000004
-2.1143333330000003,2.1143333330000003,1.9734999999999996
-17.00565999973,17.00565999973,0.0
-20.325249999999997,20.325249999999997,0.0
-21.519750000000002,21.519750000000002,0.0
-24.509,24.509,0.0
-18.95625,18.95625,0.0
-23.414583334,23.414583334,0.0
-23.425,23.425,0.0
-28.7625,28.7625,0.0
-27.633333334,27.633333334,0.0
-24.110416666,24.110416666,0.0
-22.472916666,22.472916666,0.0
-19.375,19.375,0.0
-16.80625,16.80625,0.0
-7.2541666665,7.2541666665,0.0
-5.1875,5.1875,0.0
-4.745833334,4.745833334,0.0
-4.310416666,4.310416666,0.0
-4.708333334000001,4.708333334000001,0.0
-11.652083334,11.652083334,0.0
-12.057833333999998,12.057833333999998,0.0
-11.414083334,11.414083334,0.0
-7.2315,7.2315,0.0
-7.894472222888887,7.894472222888887,0.0
-5.932416666,5.932416666,0.2919999999999998
-7.835916665999999,7.835916665999999,0.0
-15.112833337000001,15.112833337000001,0.0
-14.883000000000001,14.883000000000001,0.0
-22.309333334,22.309333334,0.0
-20.1875,20.1875,0.0
-21.25,21.25,0.0
-24.924999999999997,24.924999999999997,0.0
-28.710416666,28.710416666,0.0
-26.064583333999998,26.064583333999998,0.0
-25.189583333999998,25.189583333999998,0.0
-21.554166666,21.554166666,0.0
-17.66294349325,17.66294349325,0.0
-16.775,16.775,0.0
-13.704166665999999,13.704166665999999,0.0
-8.2875,8.2875,0.0
-5.6333333334999995,5.6333333334999995,0.0
-4.591666666,4.591666666,0.0
-4.6625,4.6625,0.0
-11.399999999999999,11.399999999999999,0.0
-11.911999999999999,11.911999999999999,0.0
-6.6826666669999994,6.6826666669999994,0.0
-3.08505555588889,3.08505555588889,0.7763611111111102
-2.673666666999999,2.673666666999999,1.6285000000000007
-5.465687500809997,5.465687500809997,0.32650000000000157
-16.062583337,16.062583337,0.0
-24.85725,24.85725,0.0
-20.289666666000002,20.289666666000002,0.0
-25.178666665999998,25.178666665999998,0.0
-19.166666665999998,19.166666665999998,0.0
-18.360416666,18.360416666,0.0
-22.201041666000002,22.201041666000002,0.0
-32.863541663,32.863541663,0.0
-24.5125,24.5125,0.0
-23.560416666000002,23.560416666000002,0.0
-18.804166666,18.804166666,0.0
-19.547761985999998,19.547761985999998,0.0
-17.507291666,17.507291666,0.0
-8.9479166675,8.9479166675,0.0
-8.9917560865,8.9917560865,0.0
-5.2437500005,5.2437500005,0.0
-5.262499999499999,5.262499999499999,0.0
-6.91258942,6.91258942,0.0
-12.100000000000001,12.100000000000001,0.0
-9.176916666,9.176916666,0.0
-6.7044999999999995,6.7044999999999995,0.0
-5.255942222888891,5.255942222888891,0.0
-3.7500833339999993,3.7500833339999993,1.1597500000000007
-2.642833333,2.642833333,1.6465
-4.36205249973,4.36205249973,0.8087499999999994
-11.07025,11.07025,0.0
-16.181916666,16.181916666,0.0
-20.356749999999998,20.356749999999998,0.0
-17.979166665999998,17.979166665999998,0.0
-26.335416666,26.335416666,0.0
-26.587500000000002,26.587500000000002,0.0
-31.416666663,31.416666663,0.0
-30.291666662999997,30.291666662999997,0.0
-21.775,21.775,0.0
-21.083333334,21.083333334,0.0
-20.54002682675,20.54002682675,0.0
-16.5351334105,16.5351334105,0.0
-11.512075113,11.512075113,0.0
-8.3687947105,8.3687947105,0.0
-4.575,4.575,0.0
-4.88125,4.88125,0.0
-7.5584227539999995,7.5584227539999995,0.0
-10.879166666,10.879166666,0.0
-12.527083334,12.527083334,0.0
-9.304333333999999,9.304333333999999,0.0
-9.683499999999999,9.683499999999999,0.0
-7.8335,7.8335,0.0
-8.55788888888889,8.55788888888889,0.0
-13.518,13.518,0.0
-21.99025,21.99025,0.0
-25.128249999999998,25.128249999999998,0.0
-19.463833334,19.463833334,0.0
-19.93125,19.93125,0.0
-23.7,23.7,0.0
-30.087500000000002,30.087500000000002,0.0
-34.041666663,34.041666663,0.0
-27.585416666,27.585416666,0.0
-26.952083334000005,26.952083334000005,0.0
-22.716666666000002,22.716666666000002,0.0
-17.297916666,17.297916666,0.0
-13.077172752500001,13.077172752500001,0.0
-12.720967462,12.720967462,0.0
-6.8395833335,6.8395833335,0.0
-7.1281697105,7.1281697105,0.0
-5.49483637575,5.49483637575,0.0
-4.50625,4.50625,0.0
-11.241666666,11.241666666,0.0
-10.018166665999999,10.018166665999999,0.0
-10.400166666,10.400166666,0.0
-11.54525,11.54525,0.0
-10.392583334000001,10.392583334000001,0.0
-13.334463334,13.334463334,0.0
-16.015333333999997,16.015333333999997,0.0
-23.995,23.995,0.0
-22.836083334,22.836083334,0.0
-26.434416666,26.434416666,0.0
-21.802083334,21.802083334,0.0
-19.820833334,19.820833334,0.0
-19.385416666,19.385416666,0.0
-26.802083334,26.802083334,0.0
-31.01875,31.01875,0.0
-21.716666666,21.716666666,0.0
-18.402083333999997,18.402083333999997,0.0
-17.38125,17.38125,0.0
-15.915026826,15.915026826,0.0
-11.3802530425,11.3802530425,0.0
-5.5927083335,5.5927083335,0.0
-5.547916666,5.547916666,0.0
-4.345833334,4.345833334,0.0
-4.708333334000001,4.708333334000001,0.0
-11.28125,11.28125,0.0
-9.072500000000002,9.072500000000002,0.0
-6.5788333329999995,6.5788333329999995,0.0
-1.3055555558888905,1.3055555558888905,2.1436111111111096
-3.026333333,3.026333333,1.4582499999999996
-4.448151667,4.448151667,0.6234999999999999
-15.349166662999998,15.349166662999998,0.0
-22.219666663,22.219666663,0.0
-21.458916666,21.458916666,0.0
-19.39225,19.39225,0.0
-17.095833333999998,17.095833333999998,0.0
-20.877083333999998,20.877083333999998,0.0
-23.591666665999995,23.591666665999995,0.0
-24.25,24.25,0.0
-29.845833337,29.845833337,0.0
-25.504166666,25.504166666,0.0
-22.277083333999997,22.277083333999997,0.0
-18.116666666,18.116666666,0.0
-14.6538834105,14.6538834105,0.0
-7.8416666675,7.8416666675,0.0
-9.6000894195,9.6000894195,0.0
-4.245833334,4.245833334,0.0
-4.75625,4.75625,0.0
-4.40625,4.40625,0.0
-11.495833334,11.495833334,0.0
-7.8432499999999985,7.8432499999999985,0.0
-9.868500000000001,9.868500000000001,0.0
-3.973972221888889,3.973972221888889,0.20936111111111133
-0.14275000000000126,0.14275000000000126,3.3921249999999983
-1.214416667000001,1.214416667000001,2.7141249999999992
-2.934833333,2.934833333,1.5025
-9.333633333000002,9.333633333000002,0.0
-16.114749999999997,16.114749999999997,0.0
-24.346249999999998,24.346249999999998,0.0
-22.102083334,22.102083334,0.0
-24.05,24.05,0.0
-26.752083333999998,26.752083333999998,0.0
-28.391666666,28.391666666,0.0
-27.976041666,27.976041666,0.0
-25.909375,25.909375,0.0
-18.424999999999997,18.424999999999997,0.0
-19.704166666,19.704166666,0.0
-10.0208780425,10.0208780425,0.0
-7.9291666675,7.9291666675,0.0
-7.2937947105,7.2937947105,0.0
-5.0958333335,5.0958333335,0.0
-4.585416666,4.585416666,0.0
-8.583422752499999,8.583422752499999,0.0
-11.941666666,11.941666666,0.0
-10.836666666,10.836666666,0.0
-8.78875,8.78875,0.0
-8.240833334000001,8.240833334000001,0.0
-7.22255555488889,7.22255555488889,0.0
-7.5209166660000015,7.5209166660000015,0.0
-11.340250000000001,11.340250000000001,0.0
-14.368166666,14.368166666,0.0
-16.022833333999998,16.022833333999998,0.0
-20.478583333999996,20.478583333999996,0.0
-20.4375,20.4375,0.0
-23.575,23.575,0.0
-24.172916666,24.172916666,0.0
-23.322916666,23.322916666,0.0
-25.945833334,25.945833334,0.0
-24.927083333999995,24.927083333999995,0.0
-19.347916666,19.347916666,0.0
-21.68834227575,21.68834227575,0.0
-15.54171137725,15.54171137725,0.0
-9.2375894205,9.2375894205,0.0
-5.4583333335,5.4583333335,0.0
-4.9083333335,4.9083333335,0.0
-4.175,4.175,0.0
-4.652083334,4.652083334,0.0
-12.070833334,12.070833334,0.0
-9.195416666,9.195416666,0.0
-6.5562499999999995,6.5562499999999995,0.0
-4.278805555888887,4.278805555888887,0.0
-2.066666667000003,2.066666667000003,1.8219999999999974
-7.12255583454,7.12255583454,0.0
-22.069166662999997,22.069166662999997,0.0
-26.819250000000004,26.819250000000004,0.0
-22.903833333999998,22.903833333999998,0.0
-18.935,18.935,0.0
-21.7625,21.7625,0.0
-22.191666666,22.191666666,0.0
-21.302083334,21.302083334,0.0
-26.96875,26.96875,0.0
-25.414583334,25.414583334,0.0
-26.24375,26.24375,0.0
-20.385416665999998,20.385416665999998,0.0
-15.87043455025,15.87043455025,0.0
-15.272961376000001,15.272961376000001,0.0
-12.072119100250001,12.072119100250001,0.0
-5.1312500000000005,5.1312500000000005,0.0
-5.6270833335,5.6270833335,0.0
-4.70625,4.70625,0.0
-7.7761310859999995,7.7761310859999995,0.0
-11.963541666000001,11.963541666000001,0.0
-10.467416666,10.467416666,0.0
-9.356083334000001,9.356083334000001,0.0
-9.322583334,9.322583334,0.0
-5.753555554888887,5.753555554888887,0.0
-3.6694166659999987,3.6694166659999987,0.8425000000000007
-10.618916665999999,10.618916665999999,0.0
