demand_electricity,pv,heat_pump,import,export_pv
-0.0,0.0,-0.0,0.7766262813160884,0.0
-0.0,0.0,-0.0,0.9399157157484349,0.0
-0.0,0.0,-0.0,0.6707459835135363,0.0
-0.0,0.0,-0.0,0.21937259010892418,0.0
-0.0,0.0,-0.0,0.1659056556756754,0.0
-0.0,0.0,-0.0,0.29862791794741644,0.0
-0.0,0.0,-0.0,0.2461959835142159,0.0
-0.0,0.0,-0.0,1.2252973223427428,0.0
-0.0,0.0,-0.0,0.9324391804999017,0.0
-0.0,0.0,-0.0,0.9724878556426699,0.0
-0.0,0.0,-0.0,1.8826026675536771,0.0
-0.0,0.0,-0.0,2.1739518761136254,0.0
-0.0,0.0,-0.0,1.4561911439621145,0.0
-0.0,0.0,-0.0,1.2301753599644676,0.0
-0.0,0.0,-0.0,0.959672959075792,0.0
-0.0,0.0,-0.0,1.8388958631613788,0.0
-0.0,0.0,-0.0,1.8582654479828162,0.0
-0.0,0.0,-0.0,2.616094644686161,0.0
-0.0,0.0,-0.0,1.908946876920328,0.0
-0.0,0.0,-0.0,2.588699376919012,0.0
-0.0,0.0,-0.0,3.061321876919894,0.0
-0.0,0.0,-0.0,2.047061311352381,0.0
-0.0,0.0,-0.0,1.9137551802180475,0.0
-0.0,0.0,-0.0,0.8331690490809548,0.0
-0.0,0.0,-0.0,0.5106834835143905,0.0
-0.0,0.0,-0.0,0.2913012512795913,0.0
-0.0,0.0,-0.0,0.24771458461372184,0.0
-0.0,0.0,-0.0,0.1769056556760974,0.0
-0.0,0.0,-0.0,0.2553679179465771,0.0
-0.0,0.0,-0.0,0.2992462512793957,0.0
-0.0,0.0,-0.0,0.4829334835144298,0.0
-0.0,0.0,-0.0,2.1145334835141996,0.0
-0.0,0.0,-0.0,1.757092991463477,0.0
-0.0,0.0,-0.0,1.4104483039096178,0.0
-0.0,0.0,-0.0,1.3062658161788758,0.0
-0.0,0.0,-0.0,2.1617791915967604,0.0
-0.0,0.0,-0.0,1.6443983915855087,0.0
