demand_heat,heat_balance,boiler,heat_pump,district_heating_industry
-0.0,0.0,0.0021160000000000003,0.0,0.0
-0.0,0.0,0.0021760000000000004,0.0,0.0
-0.0,0.0,0.002056,0.0,0.0
-0.0,0.0,0.001952,0.0,0.0
-0.0,0.0,0.001924,0.0,0.0
-0.0,0.0,0.00954,0.0,0.0
-0.0,0.0,0.0032719999999999997,0.0,0.0
-0.0,0.0,0.1,0.06911199999999999,0.0
-0.0,0.0,0.1,0.08204400000000002,0.0
-0.0,0.0,0.1,0.019504000000000004,0.0
-0.0,0.0,0.1,0.047428,0.0
-0.0,0.0,0.1,0.043352,0.0
-0.0,0.0,0.1,0.020507999999999995,0.0
-0.0,0.0,0.1,0.026560000000000004,0.0
-0.0,0.0,0.1,0.02896000000000001,0.0
-0.0,0.0,0.1,0.044836000000000015,0.0
-0.0,0.0,0.1,0.029032000000000013,0.0
-0.0,0.0,0.1,0.05094399999999999,0.0
-0.0,0.0,0.079724,0.0,0.0
-0.0,0.0,0.08486400000000001,0.0,0.0
-0.0,0.0,0.1,0.04197200000000001,0.0
-0.0,0.0,0.098168,0.0,0.0
-0.0,0.0,0.1,0.012120000000000004,0.0
-0.0,0.0,0.010472,0.0,0.0
-0.0,0.0,0.001964,0.0,0.0
-0.0,0.0,0.001924,0.0,0.0
-0.0,0.0,0.001924,0.0,0.0
-0.0,0.0,0.001924,0.0,0.0
-0.0,0.0,0.001924,0.0,0.0
-0.0,0.0,0.008656,0.0,0.0
-0.0,0.0,0.026411999999999998,0.0,0.0
-0.0,0.0,0.1,0.09028399999999999,0.0
-0.0,0.0,0.1,0.05828800000000001,0.0
-0.0,0.0,0.1,0.020012000000000002,0.0
-0.0,0.0,0.096976,0.0,0.0
-0.0,0.0,0.1,0.066636,0.0
-0.0,0.0,0.1,0.018168000000000007,0.0
-0.0,0.0,0.1,0.028587999999999995,0.0
-0.0,0.0,0.1,0.018135999999999996,0.0
-0.0,0.0,0.069096,0.0,0.0
-0.0,0.0,0.1,0.0068799999999999955,0.0
-0.0,0.0,0.06299199999999999,0.0,0.0
-0.0,0.0,0.1,0.08649199999999999,0.0
-0.0,0.0,0.07273600000000001,0.0,0.0
-0.0,0.0,0.06706000000000001,0.0,0.0
-0.0,0.0,0.1,0.07489599999999999,0.0
-0.0,0.0,0.1,0.019727999999999996,0.0
-0.0,0.0,0.007104,0.0,0.0
-0.0,0.0,0.001976,0.0,0.0
-0.0,0.0,0.001924,0.0,0.0
-0.0,0.0,0.002644,0.0,0.0
-0.0,0.0,0.001924,0.0,0.0
-0.0,0.0,0.001924,0.0,0.0
-0.0,0.0,0.0062640000000000005,0.0,0.0
-0.0,0.0,0.01234,0.0,0.0
-0.0,0.0,0.1,0.07813200000000001,0.0
-0.0,0.0,0.1,0.03652000000000001,0.0
-0.0,0.0,0.1,0.070528,0.0
-0.0,0.0,0.1,0.043584000000000005,0.0
-0.0,0.0,0.093364,0.0,0.0
-0.0,0.0,0.1,0.04222,0.0
-0.0,0.0,0.07487200000000001,0.0,0.0
-0.0,0.0,0.082,0.0,0.0
-0.0,0.0,0.06749200000000001,0.0,0.0
-0.0,0.0,0.08871599999999999,0.0,0.0
-0.0,0.0,0.1,0.008744,0.0
-0.0,0.0,0.1,0.011552000000000007,0.0
-0.0,0.0,0.1,0.044988,0.0
-0.0,0.0,0.087076,0.0,0.0
-0.0,0.0,0.1,0.009831999999999994,0.0
-0.0,0.0,0.1,0.003116,0.0
-0.0,0.0,0.005888,0.0,0.0
-0.0,0.0,0.002216,0.0,0.0
-0.0,0.0,0.00246,0.0,0.0
-0.0,0.0,0.001924,0.0,0.0
-0.0,0.0,0.001992,0.0,0.0
-0.0,0.0,0.001936,0.0,0.0
-0.0,0.0,0.030844000000000003,0.0,0.0
-0.0,0.0,0.06775199999999999,0.0,0.0
-0.0,0.0,0.1,0.19076400000000002,0.0
-0.0,0.0,0.0819,0.0,0.0
-0.0,0.0,0.1,0.05950800000000001,0.0
-0.0,0.0,0.1,0.036000000000000004,0.0
-0.0,0.0,0.07596800000000001,0.0,0.0
-0.0,0.0,0.1,0.008963999999999998,0.0
-0.0,0.0,0.07122,0.0,0.0
-0.0,0.0,0.1,0.03199600000000001,0.0
