demand_electricity,pv,delta_battery,heat_pump,import,export_pv
-4.647305099,0.0,0.0,-2.3,6.947305099,0.0
-3.922055099,0.0,0.0,-2.2351272075,6.1571823065,0.0
-3.695600967,0.0,0.0,-1.81452524675,5.51012621375,0.0
-2.295,0.0,0.0,-1.17303219125,3.46803219125,0.0
-1.73925,0.0,0.0,-0.98553219125,2.72478219125,0.0
-1.84125,0.0,0.0,-0.4927660955,2.3340160955,0.0
-1.95,0.0,0.0,-2.3,4.25,0.0
-2.2995,0.7012499999999999,0.0,-2.3,3.89825,0.0
-2.3025,2.9325,-0.6299999999999999,-2.3,2.3,0.0
-3.774,5.24025,-1.4662499999999994,-2.3,2.3,0.0
-5.69775,7.1145000000000005,-1.4167500000000002,-2.3,2.3,0.0
-5.46375,7.509749999999999,-0.37588888888888916,-2.3,0.6298888888888909,0.0
-6.45675,6.7065,0.0,-2.3,2.0502500000000006,0.0
-9.573,5.0235,3.15,-2.3,3.6994999999999996,0.0
-6.18975,3.27675,0.0,-2.3,5.213,0.0
-6.01275,0.21675,0.0,-2.3,8.096,0.0
-5.388,0.0,0.0,-2.3,7.688,0.0
-6.37125,0.0,0.0,-2.3,8.67125,0.0
-6.64275,0.0,0.0,-2.3,8.94275,0.0
-8.901,0.0,0.0,-2.3,11.201,0.0
-8.34375,0.0,0.0,-2.3,10.64375,0.0
-7.701,0.0,0.0,-2.3,10.001000000000001,0.0
-6.1425,0.0,0.0,-2.3,8.442499999999999,0.0
-3.6885,0.0,0.0,-2.3,5.988499999999999,0.0
-3.54675,0.0,0.0,-2.3,5.84675,0.0
-2.691,0.0,0.0,-2.3,4.991,0.0
-1.872,0.0,0.0,-0.6802660955,2.5522660955000003,0.0
-1.91175,0.0,0.0,-0.0,1.9117499999999998,0.0
-1.36875,0.0,0.0,-0.0,1.36875,0.0
-1.97325,0.0,0.0,-0.0,1.97325,0.0
-1.48125,0.0,0.0,-2.3,3.78125,0.0
-2.23125,1.69575,0.0,-2.3,2.8354999999999997,0.0
-3.33375,5.0235,-1.6897500000000005,-2.3,2.3,0.0
-3.68325,6.87225,-2.1991388888888883,-2.3,1.3101388888888874,0.0
-5.41125,6.97425,0.0,-2.3,0.7370000000000001,0.0
-4.611,4.611,0.0,-2.3,0.0,2.66925
-5.58375,5.609999999999999,0.0,-2.3,2.2737500000000006,0.0
-12.83775,3.1365,3.15,-2.3,8.85125,0.0
-8.538,0.816,0.0,-2.3,10.022,0.0
-5.409,0.01275,0.0,-2.3,7.69625,0.0
-4.53075,0.0,0.0,-2.3,6.83075,0.0
-6.00675,0.0,0.0,-2.3,8.306750000000001,0.0
-6.435,0.0,0.0,-2.3,8.735,0.0
-6.966,0.0,0.0,-2.3,9.266,0.0
-8.43,0.0,0.0,-2.3,10.73,0.0
-6.61425,0.0,0.0,-2.3,8.91425,0.0
-4.518,0.0,0.0,-2.3,6.818,0.0
-5.07825,0.0,0.0,-2.3,7.3782499999999995,0.0
-3.60675,0.0,0.0,-2.3,5.906749999999999,0.0
-2.71725,0.0,0.0,-2.3,5.01725,0.0
-2.016,0.0,0.0,-0.6802660955,2.6962660955,0.0
-1.68975,0.0,0.0,-0.6802660955,2.3700160955,0.0
-1.638,0.0,0.0,-0.0,1.638,0.0
-2.13825,0.0,0.0,-0.0,2.13825,0.0
