demand_heat,heat_balance,heat_pump,district_heating_industry,district_heating
-0.0,0.0,0.0368,0.5275133913912,-0.0
-0.0,0.0,0.03576203532,0.0,-0.0
-0.0,0.0,0.029032403948,0.0,-0.0
-0.0,0.0,0.018768515059999998,0.0,-0.0
-0.0,0.0,0.015768515060000002,0.0,-0.0
-0.0,0.0,0.007884257528,0.0,-0.0
-0.0,0.0,0.0368,0.672780519,-0.0
-0.0,0.0,0.0368,1.6731319314,-0.0
-0.0,0.0,0.0368,1.2870587468005,-0.0
-0.0,0.0,0.0368,1.2410837468004998,-0.0
-0.0,0.0,0.0368,1.9191709651919144,-0.0
-0.0,0.0,0.0368,1.6841929334988,-0.0
-0.0,0.0,0.0368,1.9500097077002998,-0.0
-0.0,0.0,0.0368,1.2364067007150794,-0.0
-0.0,0.0,0.0368,1.67531252715,-0.0
-0.0,0.0,0.0368,1.5115752373022615,-0.0
-0.0,0.0,0.0368,1.825322802499344,-0.0
-0.0,0.0,0.0368,1.4558253044212341,-0.0
-0.0,0.0,0.0368,1.9340141992902482,-0.0
-0.0,0.0,0.0368,2.00151582461985,-0.0
-0.0,0.0,0.0368,2.4378257686015603,-0.0
-0.0,0.0,0.0368,1.5548792472061117,-0.0
-0.0,0.0,0.0368,1.299599141452206,-0.0
-0.0,0.0,0.0368,0.08225596922704352,-0.0
-0.0,0.0,0.0368,0.0861792160296051,-0.0
-0.0,0.0,0.0368,0.03879946982423201,-0.0
-0.0,0.0,0.010884257528,0.0,-0.0
0.0,0.0,0.0,0.0,-0.0
0.0,0.0,0.0,0.0,-0.0
0.0,0.0,0.0,0.0,-0.0
-0.0,0.0,0.0368,0.9028636395800002,-0.0
-0.0,0.0,0.0368,2.3907660319999997,-0.0
-0.0,0.0,0.0368,2.515112087288035,-0.0
-0.0,0.0,0.0368,2.8048672852979917,-0.0
-0.0,0.0,0.0368,2.0461276077982564,-0.0
-0.0,0.0,0.0368,2.108437117773,-0.0
-0.0,0.0,0.0368,2.404999817278808,-0.0
-0.0,0.0,0.0368,2.977309696460652,-0.0
-0.0,0.0,0.0368,2.3531388220559997,-0.0
-0.0,0.0,0.0368,1.8733015373729962,-0.0
-0.0,0.0,0.0368,2.607824459205979,-0.0
-0.0,0.0,0.0368,2.274223583326572,-0.0
-0.0,0.0,0.0368,2.942131869361692,-0.0
-0.0,0.0,0.0368,2.6154298811051526,-0.0
-0.0,0.0,0.0368,2.0775797931380886,-0.0
-0.0,0.0,0.0368,2.3030855530687027,-0.0
-0.0,0.0,0.0368,2.2530376512181776,-0.0
-0.0,0.0,0.0368,0.28366120040466614,-0.0
-0.0,0.0,0.0368,0.05200429858612343,-0.0
-0.0,0.0,0.0368,0.14010212084393464,-0.0
-0.0,0.0,0.010884257528,0.0,-0.0
-0.0,0.0,0.010884257528,0.0,-0.0
0.0,0.0,0.0,0.0,-0.0
0.0,0.0,0.0,0.0,-0.0
-0.0,0.0,0.0368,1.150606455263476,-0.0
-0.0,0.0,0.0368,2.7968487714060952,-0.0
-0.0,0.0,0.0368,1.9686692359032103,-0.0
-0.0,0.0,0.0368,2.42186149281666,-0.0
-0.0,0.0,0.0368,2.6396881636911185,-0.0
-0.0,0.0,0.0368,1.7594187112562112,-0.0
-0.0,0.0,0.0368,1.6130560769434998,-0.0
-0.0,0.0,0.0368,1.7840458632300003,-0.0
-0.0,0.0,0.0368,2.211640222316,-0.0
-0.0,0.0,0.0368,2.12746312550644,-0.0
-0.0,0.0,0.0368,2.1048604632518577,-0.0
-0.0,0.0,0.0368,1.7229389264090647,-0.0
-0.0,0.0,0.0368,2.418030574878207,-0.0
-0.0,0.0,0.0368,1.210566266066576,-0.0
-0.0,0.0,0.0368,1.5738550471081647,-0.0
-0.0,0.0,0.0368,1.6521179770307162,-0.0
-0.0,0.0,0.0368,1.0968426443812527,-0.0
-0.0,0.0,0.035652772592,0.0,-0.0
-0.0,0.0,0.0368,0.17581639742810007,-0.0
-0.0,0.0,0.003,0.0,-0.0
-0.0,0.0,0.013884257528,0.0,-0.0
0.0,0.0,0.0,0.0,-0.0
-0.0,0.0,0.018768515059999998,0.0,-0.0
-0.0,0.0,0.010884257528,0.0,-0.0
-0.0,0.0,0.0368,0.884843,-0.0
-0.0,0.0,0.0368,2.5730687445923,-0.0
-0.0,0.0,0.0368,2.7456651681868305,-0.0
-0.0,0.0,0.0368,2.6669621420912852,-0.0
-0.0,0.0,0.0368,1.9519751318063998,-0.0
-0.0,0.0,0.0368,2.208823013588,-0.0
-0.0,0.0,0.0368,1.6505574000234997,-0.0
-0.0,0.0,0.0368,1.6650554520000003,-0.0
-0.0,0.0,0.0368,1.4662128764,-0.0
-0.0,0.0,0.0368,1.6698387452265933,-0.0
-0.0,0.0,0.0368,1.6052625182817928,-0.0
-0.0,0.0,0.0368,1.9502867475929966,-0.0
-0.0,0.0,0.0368,2.912954282011032,-0.0
-0.0,0.0,0.0368,1.658103481440731,-0.0
-0.0,0.0,0.0368,2.228791759766712,-0.0
-0.0,0.0,0.0368,2.1558370619351157,-0.0
-0.0,0.0,0.0368,1.250470039157827,-0.0
-0.0,0.0,0.0368,0.9098458396275317,-0.0
-0.0,0.0,0.0368,0.57374149536,-0.0
-0.0,0.0,0.006,0.0,-0.0
0.0,0.0,0.0,0.0,-0.0
0.0,0.0,0.0,0.0,-0.0
0.0,0.0,0.0,0.0,-0.0
0.0,0.0,0.0,0.0,-0.0
-0.0,0.0,0.0368,1.0614836637900003,-0.0
-0.0,0.0,0.0368,2.0444473434279997,-0.0
-0.0,0.0,0.0368,1.6000776136552999,-0.0
-0.0,0.0,0.0368,2.0119718140464,-0.0
-0.0,0.0,0.0368,1.322586344072671,-0.0
-0.0,0.0,0.0368,1.6924012806769224,-0.0
-0.0,0.0,0.0368,1.4842380308665,-0.0
-0.0,0.0,0.0368,1.787503050674107,-0.0
-0.0,0.0,0.0368,1.9347696267927037,-0.0
-0.0,0.0,0.0368,2.160116786971,-0.0
-0.0,0.0,0.0368,1.6896437421235473,-0.0
-0.0,0.0,0.0368,1.7467399921265674,-0.0
-0.0,0.0,0.0368,2.228983244705539,-0.0
-0.0,0.0,0.0368,1.300497289869469,-0.0
-0.0,0.0,0.0368,2.0776110930704195,-0.0
-0.0,0.0,0.0368,1.2080754441586998,-0.0
-0.0,0.0,0.0368,1.3030875554020998,-0.0
-0.0,0.0,0.0368,0.17637054282045503,-0.0
-0.0,0.0,0.0368,0.27901923874170836,-0.0
-0.0,0.0,0.0368,0.3837195378,-0.0
0.0,0.0,0.0,0.0,-0.0
-0.0,0.0,0.003,0.0,-0.0
0.0,0.0,0.0,0.0,-0.0
0.0,0.0,0.0,0.0,-0.0
-0.0,0.0,0.0368,0.7957176079754,-0.0
-0.0,0.0,0.0368,2.263744050057758,-0.0
-0.0,0.0,0.0368,2.5049837870408482,-0.0
