demand_heat,heat_balance,heat_pump,district_heating_industry
-0.0,0.0,23.53576,0.0
-0.0,0.0,5.263520000000001,0.0
-0.0,0.0,7.844360000000001,0.0
-0.0,0.0,5.16436,0.0
-0.0,0.0,7.844360000000001,0.0
-0.0,0.0,2.58352,0.0
-0.0,0.0,67.0,0.0
-0.0,0.0,69.58352000000001,0.0
-0.0,0.0,61.44436,0.0
-0.0,0.0,56.084360000000004,0.0
-0.0,0.0,81.3246,0.0
-0.0,0.0,49.94448,0.0
-0.0,0.0,76.45236000000001,0.0
-0.0,0.0,50.43224000000001,0.0
-0.0,0.0,76.64800000000001,0.0
-0.0,0.0,73.968,0.0
-0.0,0.0,76.35588,0.0
-0.0,0.0,53.50352,0.0
-0.0,0.0,70.70376,0.0
-0.0,0.0,74.16364,0.0
-0.0,0.0,50.043639999999996,0.0
-0.0,0.0,69.19224000000001,0.0
-0.0,0.0,31.867880000000003,0.0
-0.0,0.0,15.88436,0.0
-0.0,0.0,15.691400000000002,0.0
-0.0,0.0,10.42788,0.0
-0.0,0.0,2.58352,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
-0.0,0.0,80.30352,0.0
-0.0,0.0,61.64,0.0
-0.0,0.0,61.152240000000006,0.0
-0.0,0.0,81.81236000000001,0.0
-0.0,0.0,45.07224000000001,0.0
-0.0,0.0,55.69576,0.0
-0.0,0.0,100.57236,0.0
-0.0,0.0,81.42376000000002,0.0
-0.0,0.0,89.3646,0.0
-0.0,0.0,45.07224000000001,0.0
-0.0,0.0,71.58012000000001,0.0
-0.0,0.0,53.211400000000005,0.0
-0.0,0.0,70.80024,0.0
-0.0,0.0,49.94448,0.0
-0.0,0.0,42.29576,0.0
-0.0,0.0,36.93576,0.0
-0.0,0.0,95.31152,0.0
-0.0,0.0,12.91224,0.0
-0.0,0.0,5.16436,0.0
-0.0,0.0,15.49576,0.0
-0.0,0.0,10.623520000000001,0.0
-0.0,0.0,2.58352,0.0
-0.0,0.0,2.68,0.0
0.0,0.0,0.0,0.0
-0.0,0.0,74.84436000000001,0.0
-0.0,0.0,71.87224,0.0
-0.0,0.0,45.26788,0.0
-0.0,0.0,63.248000000000005,0.0
-0.0,0.0,87.17236000000001,0.0
-0.0,0.0,39.907880000000006,0.0
-0.0,0.0,34.54788,0.0
-0.0,0.0,58.37576000000001,0.0
-0.0,0.0,73.2846,0.0
-0.0,0.0,74.06448,0.0
-0.0,0.0,55.79224000000001,0.0
-0.0,0.0,48.044360000000005,0.0
-0.0,0.0,81.61672,0.0
-0.0,0.0,29.383520000000004,0.0
-0.0,0.0,26.60436,0.0
-0.0,0.0,31.575760000000002,0.0
-0.0,0.0,13.303520000000002,0.0
-0.0,0.0,10.42788,0.0
-0.0,0.0,15.59224,0.0
-0.0,0.0,2.68,0.0
-0.0,0.0,2.58352,0.0
0.0,0.0,0.0,0.0
-0.0,0.0,7.844360000000001,0.0
-0.0,0.0,2.58352,0.0
-0.0,0.0,61.64,0.0
-0.0,0.0,61.44436,0.0
-0.0,0.0,76.06376,0.0
-0.0,0.0,62.95588,0.0
-0.0,0.0,76.84364,0.0
-0.0,0.0,81.81236000000001,0.0
-0.0,0.0,66.51224,0.0
-0.0,0.0,50.33576,0.0
-0.0,0.0,71.87224,0.0
-0.0,0.0,90.53576,0.0
-0.0,0.0,42.587880000000006,0.0
-0.0,0.0,40.10352,0.0
-0.0,0.0,97.99152000000001,0.0
-0.0,0.0,61.44436,0.0
-0.0,0.0,55.403639999999996,0.0
-0.0,0.0,50.043639999999996,0.0
-0.0,0.0,15.787880000000001,0.0
-0.0,0.0,38.93236,0.0
-0.0,0.0,36.35152,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
-0.0,0.0,2.68,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
-0.0,0.0,71.77576,0.0
-0.0,0.0,64.02788,0.0
-0.0,0.0,47.851400000000005,0.0
-0.0,0.0,52.723639999999996,0.0
-0.0,0.0,26.60436,0.0
-0.0,0.0,58.472240000000006,0.0
-0.0,0.0,34.35224,0.0
-0.0,0.0,52.723639999999996,0.0
-0.0,0.0,116.06812,0.0
-0.0,0.0,100.28024,0.0
-0.0,0.0,53.01576,0.0
-0.0,0.0,103.05672000000001,0.0
-0.0,0.0,92.53236000000001,0.0
-0.0,0.0,29.28436,0.0
-0.0,0.0,68.21672000000001,0.0
-0.0,0.0,55.79224000000001,0.0
-0.0,0.0,50.531400000000005,0.0
-0.0,0.0,21.14788,0.0
