demand_electricity,electricity_balance,pv,soc,delta_battery,heat_pump,supply_grid_power
-0.0,-6.947305099,0.0,0.2,0.0,-0.0092,0.0
-0.0,-6.1571823065,0.0,0.2,0.0,-0.00894050883,0.0
-0.0,-5.51012621375,0.0,0.2,0.0,-0.007258100987,0.0
-0.0,-3.46803219125,0.0,0.2,0.0,-0.004692128764999999,0.0
-0.0,-2.72478219125,0.0,0.2,0.0,-0.0039421287650000005,0.0
-0.0,-2.3340160955,0.0,0.2,0.0,-0.001971064382,0.0
-0.0,-4.25,0.0,0.2,0.0,-0.0092,0.0
-0.0,-3.89825,0.0,0.2,0.0,-0.0092,0.0
-0.0,-2.3,0.0,0.3134,-0.6299999999999999,-0.0092,0.0
-0.0,-2.3,0.0,0.5773249999999999,-1.4662499999999994,-0.0092,0.0
-0.0,-2.3,0.0,0.83234,-1.4167500000000002,-0.0092,0.0
-0.0,-0.6298888888888909,0.0,0.9,-0.37588888888888916,-0.0092,0.0
-0.0,-2.0502500000000006,0.0,0.9,0.0,-0.0092,0.0
-0.0,-3.6994999999999996,0.0,0.2,3.15,-0.0092,0.0
-0.0,-5.213,0.0,0.2,0.0,-0.0092,0.0
-0.0,-8.096,0.0,0.2,0.0,-0.0092,0.0
-0.0,-7.688,0.0,0.2,0.0,-0.0092,0.0
-0.0,-8.67125,0.0,0.2,0.0,-0.0092,0.0
-0.0,-8.94275,0.0,0.2,0.0,-0.0092,0.0
-0.0,-11.201,0.0,0.2,0.0,-0.0092,0.0
-0.0,-10.64375,0.0,0.2,0.0,-0.0092,0.0
-0.0,-10.001000000000001,0.0,0.2,0.0,-0.0092,0.0
-0.0,-8.442499999999999,0.0,0.2,0.0,-0.0092,0.0
-0.0,-5.988499999999999,0.0,0.2,0.0,-0.0092,0.0
-0.0,-5.84675,0.0,0.2,0.0,-0.0092,0.0
-0.0,-4.991,0.0,0.2,0.0,-0.0092,0.0
-0.0,-2.5522660955000003,0.0,0.2,0.0,-0.002721064382,0.0
-0.0,-1.9117499999999998,0.0,0.2,0.0,-0.0,0.0
-0.0,-1.36875,0.0,0.2,0.0,-0.0,0.0
-0.0,-1.97325,0.0,0.2,0.0,-0.0,0.0
-0.0,-3.78125,0.0,0.2,0.0,-0.0092,0.0
-0.0,-2.8354999999999997,0.0,0.2,0.0,-0.0092,0.0
-0.0,-2.3,0.0,0.5041550000000001,-1.6897500000000005,-0.0092,0.0
-0.0,-1.3101388888888874,0.0,0.9,-2.1991388888888883,-0.0092,0.0
-0.0,-0.7370000000000001,0.0,0.9,0.0,-0.0092,0.0
-0.0,0.36924999999999963,0.0,0.9,0.0,-0.0092,0.0
-0.0,-2.2737500000000006,0.0,0.9,0.0,-0.0092,0.0
-0.0,-8.85125,0.0,0.2,3.15,-0.0092,0.0
-0.0,-10.022,0.0,0.2,0.0,-0.0092,0.0
-0.0,-7.69625,0.0,0.2,0.0,-0.0092,0.0
-0.0,-6.83075,0.0,0.2,0.0,-0.0092,0.0
-0.0,-8.306750000000001,0.0,0.2,0.0,-0.0092,0.0
-0.0,-8.735,0.0,0.2,0.0,-0.0092,0.0
-0.0,-9.266,0.0,0.2,0.0,-0.0092,0.0
-0.0,-10.73,0.0,0.2,0.0,-0.0092,0.0
-0.0,-8.91425,0.0,0.2,0.0,-0.0092,0.0
-0.0,-6.818,0.0,0.2,0.0,-0.0092,0.0
-0.0,-7.3782499999999995,0.0,0.2,0.0,-0.0092,0.0
-0.0,-5.906749999999999,0.0,0.2,0.0,-0.0092,0.0
-0.0,-5.01725,0.0,0.2,0.0,-0.0092,0.0
-0.0,-2.6962660955,0.0,0.2,0.0,-0.002721064382,0.0
-0.0,-2.3700160955,0.0,0.2,0.0,-0.002721064382,0.0
-0.0,-1.638,0.0,0.2,0.0,-0.0,0.0
-0.0,-2.13825,0.0,0.2,0.0,-0.0,0.0
-0.0,-4.20725,0.0,0.2,0.0,-0.0092,0.0
-0.0,-2.3,0.0,0.27776,-0.43200000000000005,-0.0092,0.0
-0.0,-2.3,0.0,0.8693975,-3.286875,-0.0092,0.0
-0.0,1.9178611111111117,0.0,0.9,-0.17001388888888888,-0.0092,0.0
-0.0,2.032,0.0,0.9,0.0,-0.0092,0.0
-0.0,1.7402499999999996,0.0,0.9,0.0,-0.0092,0.0
-0.0,-1.11725,0.0,0.9,0.0,-0.0092,0.0
-0.0,-3.1647500000000006,0.0,0.2,3.15,-0.0092,0.0
-0.0,-5.582,0.0,0.2,0.0,-0.0092,0.0
-0.0,-10.504999999999999,0.0,0.2,0.0,-0.0092,0.0
-0.0,-7.372625,0.0,0.2,0.0,-0.0092,0.0
-0.0,-7.06175,0.0,0.2,0.0,-0.0092,0.0
-0.0,-9.153125,0.0,0.2,0.0,-0.0092,0.0
-0.0,-10.05275,0.0,0.2,0.0,-0.0092,0.0
-0.0,-10.529,0.0,0.2,0.0,-0.0092,0.0
-0.0,-9.621500000000001,0.0,0.2,0.0,-0.0092,0.0
-0.0,-7.2155,0.0,0.2,0.0,-0.0092,0.0
-0.0,-6.721548286999999,0.0,0.2,0.0,-0.008913193148,0.0
-0.0,-5.6899999999999995,0.0,0.2,0.0,-0.0092,0.0
-0.0,-2.625,0.0,0.2,0.0,-0.00075,0.0
-0.0,-2.8740160955,0.0,0.2,0.0,-0.003471064382,0.0
-0.0,-2.09625,0.0,0.2,0.0,-0.0,0.0
-0.0,-2.81253219125,0.0,0.2,0.0,-0.004692128764999999,0.0
-0.0,-2.5357660954999997,0.0,0.2,0.0,-0.002721064382,0.0
-0.0,-4.08425,0.0,0.2,0.0,-0.0092,0.0
-0.0,-2.3,0.0,0.23752999999999996,-0.20849999999999985,-0.0092,0.0
-0.0,-2.3,0.0,0.695585,-2.54475,-0.0092,0.0
-0.0,-0.14163888888888998,0.0,0.9,-1.1356388888888889,-0.0092,0.0
