demand_heat,heat_pump,district_heating_industry,district_heating
0.0,0.0,0.0,-0.0
-32.72106438,9.2,23.521064380000002,-0.0
-61.69212877,9.2,52.492128769999994,-0.0
-65.46064382,9.2,56.26064382,-0.0
-63.6817082,9.2,54.4817082,-0.0
-58.04745067,9.2,48.84745067,-0.0
-53.0763863,9.2,43.87638630000001,-0.0
-49.13425753,9.2,39.93425753,-0.0
-64.15277258,9.2,54.95277258,-0.0
-47.54745068,9.2,38.347450679999994,-0.0
-59.1817082,9.2,49.9817082,-0.0
-53.46064382,9.2,44.26064382,-0.0
-43.88425753,9.2,34.68425753,-0.0
-48.29745068,9.2,39.097450679999994,-0.0
-52.98957944,9.2,43.78957944,-0.0
-74.0080945,9.2,64.8080945,-0.0
-40.13425753,9.2,30.93425753,-0.0
-51.96064382,9.2,42.76064382,-0.0
-16.3263863,9.2,7.1263863,-0.0
-17.8263863,9.2,8.6263863,-0.0
-0.75,0.75,0.0,-0.0
-5.442128765,5.442128765,0.0,-0.0
-1.5,1.5,0.0,-0.0
-0.75,0.75,0.0,-0.0
-3.942128765,3.942128765,0.0,-0.0
-31.5,9.2,22.3,-0.0
-79.98957945,9.2,70.78957944999999,-0.0
-60.48957944,9.2,51.28957944,-0.0
-66.6817082,9.2,57.4817082,-0.0
-50.16319315,9.2,40.963193149999995,-0.0
-54.5763863,9.2,45.37638630000001,-0.0
-60.48957944,9.2,51.28957944,-0.0
-55.51851506,9.2,46.318515059999996,-0.0
-57.29745068,9.2,48.097450679999994,-0.0
-53.0763863,9.2,43.87638630000001,-0.0
-37.69212877,9.2,28.492128769999997,-0.0
-53.8263863,9.2,44.62638630000001,-0.0
-43.13425753,9.2,33.93425753,-0.0
-66.87383697,9.2,57.673836969999996,-0.0
-67.2580945,9.2,58.058094499999996,-0.0
-50.8263863,9.2,41.62638630000001,-0.0
-38.16319315,9.2,28.96319315,-0.0
-11.16319315,9.2,1.9631931500000004,-0.0
-8.442128768,8.442128768,0.0,-0.0
-8.163193148,8.163193148,0.0,-0.0
-3.471064382,3.471064382,0.0,-0.0
0.0,0.0,0.0,-0.0
0.0,0.0,0.0,-0.0
-3.942128765,3.942128765,0.0,-0.0
-31.5,9.2,22.3,-0.0
-81.01851503,9.2,71.81851503,-0.0
-55.60532191,9.2,46.40532191,-0.0
-64.23957944,9.2,55.03957944,-0.0
-54.85532191,9.2,45.65532191,-0.0
-55.13425753,9.2,45.93425753,-0.0
-51.66319315,9.2,42.463193149999995,-0.0
-49.69212877,9.2,40.492128769999994,-0.0
-49.79745067,9.2,40.59745067,-0.0
-53.54745067,9.2,44.34745067,-0.0
-46.13425753,9.2,36.93425753,-0.0
-47.16319315,9.2,37.963193149999995,-0.0
-51.10532191,9.2,41.90532191,-0.0
-45.19212877,9.2,35.992128769999994,-0.0
-48.5763863,9.2,39.37638630000001,-0.0
-50.54745068,9.2,41.347450679999994,-0.0
-43.88425753,9.2,34.68425753,-0.0
-27.48957944,9.2,18.28957944,-0.0
-5.442128765,5.442128765,0.0,-0.0
-7.413193146,7.413193146,0.0,-0.0
-3.0,3.0,0.0,-0.0
-3.471064382,3.471064382,0.0,-0.0
-1.971064382,1.971064382,0.0,-0.0
0.0,0.0,0.0,-0.0
-33.47106438,9.2,24.271064380000002,-0.0
-63.47106438,9.2,54.27106438,-0.0
-61.04745067,9.2,51.84745067,-0.0
-67.98957944,9.2,58.78957944,-0.0
-70.15277258,9.2,60.95277258,-0.0
-58.04745067,9.2,48.84745067,-0.0
-49.88425753,9.2,40.68425753,-0.0
-54.38425753,9.2,45.18425753,-0.0
-59.1817082,9.2,49.9817082,-0.0
-55.79745067,9.2,46.59745067,-0.0
-44.8263863,9.2,35.62638630000001,-0.0
-84.61341637,9.2,75.41341637,-0.0
-48.38425753,9.2,39.18425753,-0.0
-52.98957944,9.2,43.78957944,-0.0
-67.62383697,9.2,58.423836969999996,-0.0
-59.46064382,9.2,50.26064382,-0.0
-56.54745067,9.2,47.34745067,-0.0
-19.13425753,9.2,9.93425753,-0.0
-10.41319315,9.2,1.2131931500000004,-0.0
-3.471064382,3.471064382,0.0,-0.0
-0.75,0.75,0.0,-0.0
0.0,0.0,0.0,-0.0
0.0,0.0,0.0,-0.0
0.0,0.0,0.0,-0.0
-32.72106438,9.2,23.521064380000002,-0.0
-71.63425753,9.2,62.43425753,-0.0
-63.29745067,9.2,54.09745067,-0.0
-62.8263863,9.2,53.62638630000001,-0.0
-73.34490135,9.2,64.14490135,-0.0
-59.54745068,9.2,50.347450679999994,-0.0
-58.79745067,9.2,49.59745067,-0.0
-67.90277258,9.2,58.70277258,-0.0
-68.37383697,9.2,59.173836969999996,-0.0
-84.61341637,9.2,75.41341637,-0.0
